ID,V8,V9,V10,Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q12_1_Group,Q12_2_Group,Q12_3_Group,Q12_4_Group,Q12_5_Group,Q12_6_Group,Q12_7_Group,Q12_8_Group,Q12_9_Group,Q12_10_Group,Q12_11_Group,Q12_12_Group,Q12_13_Group,Q12_14_Group,Q12_15_Group,Q12_23_Group,Q12_16_Group,Q12_17_Group,Q12_18_Group,Q12_19_Group,Q12_20_Group,Q12_21_Group,Q12_22_Group
NA,2011-05-12 00:19:59,2011-05-12 00:36:57,1,1,54,1,NA,NA,NA,1,1,NA,NA,1,1,0,0,1,1,0,2,2,0,2,1,0,1,0,NA,2,1,2,0,0,1,1
NA,2011-05-12 00:38:51,2011-05-12 00:40:12,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2011-05-12 08:39:54,2011-05-12 09:04:14,1,1,80,1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,2,NA,NA,1,0,1,0,NA,1,NA,0,0,0,NA,NA
NA,2011-05-12 09:12:13,2011-05-12 09:40:05,1,1,20,NA,NA,1,NA,NA,NA,1,NA,2,1,2,1,0,0,2,0,0,1,1,1,0,1,0,NA,0,0,1,1,1,0,1
NA,2011-05-12 10:02:02,2011-05-12 10:12:38,1,1,100,1,1,1,1,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,2,1,0,1,0,NA,1,0,0,0,0,1,2
NA,2011-05-12 09:46:48,2011-05-12 10:32:53,1,1,60,1,1,NA,NA,NA,NA,NA,NA,1,0,2,0,0,2,2,1,0,1,2,1,0,1,0,NA,2,2,0,0,0,2,1
NA,2011-05-12 12:50:58,2011-05-12 12:57:29,1,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,2011-05-12 13:44:52,2011-05-12 13:53:28,1,1,100,1,1,1,NA,NA,1,NA,NA,2,1,0,2,2,2,2,2,2,2,1,1,0,2,0,0,1,1,1,0,0,1,2
NA,2011-05-12 13:49:50,2011-05-12 13:59:58,1,1,85,1,1,1,NA,1,1,NA,NA,2,2,2,1,1,1,0,0,1,0,2,2,1,2,0,2,0,2,0,0,0,0,0
NA,2011-05-12 15:10:21,2011-05-12 15:12:16,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2011-05-12 15:12:30,2011-05-12 15:25:19,1,1,30,1,NA,NA,1,1,1,1,1,2,1,2,0,0,0,2,0,2,1,1,0,0,1,0,2,2,0,0,1,1,0,0
21583,2011-05-16 10:56:28,2011-05-16 11:02:39,1,1,60,1,1,1,NA,NA,NA,NA,NA,2,2,0,0,1,2,1,2,2,0,2,0,0,2,0,2,1,1,0,0,0,0,0
NA,2011-05-16 11:56:19,2011-05-16 11:58:13,1,1,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266521,2011-05-16 13:54:42,2011-05-16 13:57:15,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
